customerID,Churn,customer.gender,customer.SeniorCitizen,customer.Partner,customer.Dependents,customer.tenure,phone.PhoneService,phone.MultipleLines,internet.InternetService,internet.OnlineSecurity,internet.OnlineBackup,internet.DeviceProtection,internet.TechSupport,internet.StreamingTV,internet.StreamingMovies,account.Contract,account.PaperlessBilling,account.PaymentMethod,account.Charges.Monthly,Cuentas_Diarias,account.Charges.Total
0002-ORFBO,no,female,0,yes,yes,9,yes,no,dsl,no,yes,no,yes,yes,no,one year,yes,mailed check,65.6,2.19,593.3
0003-MKNFE,no,male,0,no,no,9,yes,yes,dsl,no,no,no,no,no,yes,month-to-month,no,mailed check,59.9,2.0,542.4
0004-TLHLJ,yes,male,0,no,no,4,yes,no,fiber optic,no,no,yes,no,no,no,month-to-month,yes,electronic check,73.9,2.46,280.85
0011-IGKFF,yes,male,1,yes,no,13,yes,no,fiber optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic check,98.0,3.27,1237.85
0013-EXCHZ,yes,female,1,yes,no,3,yes,no,fiber optic,no,no,no,yes,yes,no,month-to-month,yes,mailed check,83.9,2.8,267.4
0013-MHZWF,no,female,0,no,yes,9,yes,no,dsl,no,no,no,yes,yes,yes,month-to-month,yes,credit card (automatic),69.4,2.31,571.45
0013-SMEOE,no,female,1,yes,no,71,yes,no,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer (automatic),109.7,3.66,7904.25
0014-BMAQU,no,male,0,yes,no,63,yes,yes,fiber optic,yes,no,no,yes,no,no,two year,yes,credit card (automatic),84.65,2.82,5377.8
0015-UOCOJ,no,female,1,no,no,7,yes,no,dsl,yes,no,no,no,no,no,month-to-month,yes,electronic check,48.2,1.61,340.35
0016-QLJIS,no,female,0,yes,yes,65,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,mailed check,90.45,3.02,5957.9
0017-DINOC,no,male,0,no,no,54,no,no,dsl,yes,no,no,yes,yes,no,two year,no,credit card (automatic),45.2,1.51,2460.55
0017-IUDMW,no,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,yes,yes,yes,two year,yes,credit card (automatic),116.8,3.89,8456.75
0018-NYROU,no,female,0,yes,no,5,yes,no,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,68.95,2.3,351.5
0019-EFAEP,no,female,0,no,no,72,yes,yes,fiber optic,yes,yes,yes,no,yes,no,two year,yes,bank transfer (automatic),101.3,3.38,7261.25
0019-GFNTW,no,female,0,no,no,56,no,no,dsl,yes,yes,yes,yes,no,no,two year,no,bank transfer (automatic),45.05,1.5,2560.1
0020-INWCK,no,female,0,yes,yes,71,yes,yes,fiber optic,no,yes,yes,no,no,yes,two year,yes,credit card (automatic),95.75,3.19,6849.4
0020-JDNXP,no,female,0,yes,yes,34,no,no,dsl,yes,no,yes,yes,yes,yes,one year,no,mailed check,61.25,2.04,1993.2
0021-IKXGC,no,female,1,no,no,1,yes,yes,fiber optic,no,no,no,no,no,no,month-to-month,yes,electronic check,72.1,2.4,72.1
0022-TCJCI,yes,male,1,no,no,45,yes,no,dsl,yes,no,yes,no,no,yes,one year,no,credit card (automatic),62.7,2.09,2791.5
0023-HGHWL,yes,male,1,no,no,1,no,no,dsl,no,no,no,no,no,no,month-to-month,yes,electronic check,25.1,0.84,25.1
0023-UYUPN,no,female,1,yes,no,50,yes,yes,no,no,no,no,no,no,no,one year,no,electronic check,25.2,0.84,1306.3
0023-XUOPT,yes,female,0,yes,no,13,yes,yes,fiber optic,no,yes,yes,no,yes,no,month-to-month,no,electronic check,94.1,3.14,1215.6
0027-KWYKW,no,female,0,yes,yes,23,yes,yes,fiber optic,no,no,no,no,yes,no,month-to-month,yes,electronic check,83.75,2.79,1849.95
0030-FNXPP,no,female,0,no,no,3,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,19.85,0.66,57.2
0031-PVLZI,yes,female,0,yes,yes,4,yes,no,no,no,no,no,no,no,no,month-to-month,no,mailed check,20.35,0.68,76.35
0032-PGELS,yes,female,0,yes,yes,1,no,no,dsl,yes,no,no,no,no,no,month-to-month,no,bank transfer (automatic),30.5,1.02,30.5
0036-IHMOT,no,female,0,yes,yes,55,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,bank transfer (automatic),103.7,3.46,5656.75
0040-HALCW,no,male,0,yes,yes,54,yes,no,no,no,no,no,no,no,no,two year,no,credit card (automatic),20.4,0.68,1090.6
0042-JVWOJ,no,male,0,no,no,26,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer (automatic),19.6,0.65,471.85
